date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
6/4/2010,Slovenia,New Zealand,3,1,Friendly,Maribor,Slovenia,FALSE
6/4/2010,Sudan,Palestine,1,1,Friendly,Omdurman,Sudan,FALSE
6/4/2010,Iraqi Kurdistan,Occitania,2,1,Viva World Cup,Sannat,Malta,TRUE
6/4/2010,Padania,Two Sicilies,2,0,Viva World Cup,Xewkija,Malta,TRUE
6/4/2010,Gozo,Provence,2,1,Viva World Cup,Xewkija,Malta,FALSE
6/5/2010,Algeria,United Arab Emirates,1,0,Friendly,FÃ¼rth,Germany,TRUE
6/5/2010,Australia,United States,1,3,Friendly,Roodepoort,South Africa,TRUE
6/5/2010,Ghana,Latvia,1,0,Friendly,Milton Keynes,England,TRUE
6/5/2010,Netherlands,Hungary,6,1,Friendly,Amsterdam,Netherlands,FALSE
6/5/2010,Romania,Honduras,3,0,Friendly,Sankt Veit an der Glan,Austria,TRUE
6/5/2010,Serbia,Cameroon,4,3,Friendly,Belgrade,Serbia,FALSE
6/5/2010,Slovakia,Costa Rica,3,0,Friendly,Bratislava,Slovakia,FALSE
6/5/2010,South Africa,Denmark,1,0,Friendly,Atteridgeville,South Africa,FALSE
6/5/2010,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,FALSE
6/5/2010,Occitania,Two Sicilies,2,0,Viva World Cup,Sannat,Malta,TRUE
6/5/2010,Iraqi Kurdistan,Padania,0,1,Viva World Cup,Xewkija,Malta,TRUE
6/6/2010,Nigeria,North Korea,3,1,Friendly,Johannesburg,South Africa,TRUE
6/7/2010,Tanzania,Brazil,1,5,Friendly,Dar es Salaam,Tanzania,FALSE
6/8/2010,Mozambique,Portugal,0,3,Friendly,Johannesburg,South Africa,TRUE
6/8/2010,Spain,Poland,6,0,Friendly,Murcia,Spain,FALSE
6/11/2010,South Africa,Mexico,1,1,FIFA World Cup,Johannesburg,South Africa,FALSE
6/11/2010,Uruguay,France,0,0,FIFA World Cup,Cape Town,South Africa,TRUE
6/12/2010,Argentina,Nigeria,1,0,FIFA World Cup,Johannesburg,South Africa,TRUE
6/12/2010,England,United States,1,1,FIFA World Cup,Rustenburg,South Africa,TRUE
6/12/2010,South Korea,Greece,2,0,FIFA World Cup,Port Elizabeth,South Africa,TRUE
6/13/2010,Algeria,Slovenia,0,1,FIFA World Cup,Polokwane,South Africa,TRUE
